City_ID,City,Country,Lat,Lng,Max Temp,Cloudiness,Wind Speed,Current Description
229,Teya,RU,60.3778,92.6267,57.29,100,0.72,heavy intensity rain
230,El Alto,PE,-4.2714,-81.2147,63.52,63,22.79,broken clouds
231,Mecca,SA,21.4267,39.8261,86.2,63,3.53,broken clouds
232,Sao Filipe,CV,14.8961,-24.4956,73.96,70,5.61,broken clouds
233,Celestun,MX,20.8667,-90.4,79.38,65,13.67,broken clouds
234,Hamilton,US,39.1834,-84.5333,86.85,0,8.05,clear sky
235,Tubmanburg,LR,6.8708,-10.8172,72.97,100,1.68,heavy intensity rain
236,Kaliua,TZ,-5.0606,31.7936,71.38,99,5.21,overcast clouds
237,Biloela,AU,-24.4167,150.5,69.62,98,9.82,overcast clouds
238,Itapui,BR,-22.2333,-48.7192,66.69,0,3.53,clear sky
239,Manosque,FR,43.8288,5.7869,64.99,60,4.63,broken clouds
240,Falmouth,GB,50.1544,-5.0711,63.5,39,8.88,scattered clouds
241,Honningsvag,NO,70.9821,25.9704,38.95,100,11.5,light intensity drizzle
242,Kidal,ML,18.4411,1.4078,81.32,100,10.54,overcast clouds
243,Lorengau,PG,-2.0226,147.2712,83.34,100,10.69,overcast clouds
244,Izsak,HU,46.8045,19.3517,65.95,9,1.23,clear sky
245,Sistranda,NO,63.7256,8.834,49.96,99,11.07,overcast clouds
246,Imeni Poliny Osipenko,RU,52.4201,136.4853,58.32,100,6.4,overcast clouds
247,Pitimbu,BR,-7.4706,-34.8086,72.19,25,8.93,scattered clouds
248,Yenagoa,NG,4.9247,6.2642,73.09,100,1.81,overcast clouds
249,Mar Del Plata,AR,-38.0023,-57.5575,44.1,0,5.75,mist
250,Nome,US,64.5011,-165.4064,63.16,0,5.75,clear sky
251,Guarda,PT,40.5373,-7.2658,59.07,89,2.66,overcast clouds
252,Swellendam,ZA,-34.0226,20.4417,56.05,98,6.82,overcast clouds
253,Muroto,JP,33.2833,134.15,74.23,100,0.69,light rain
254,Yanji,CN,42.9075,129.5078,61.75,100,2.62,overcast clouds
255,Muli,MV,2.9167,73.5667,83.23,100,9.19,overcast clouds
256,Marzuq,YE,14.4,46.4667,78.08,96,4.21,overcast clouds
257,Qinhuangdao,CN,39.9317,119.5883,76.68,3,8.12,clear sky
258,Vao,NC,-22.6667,167.4833,76.28,99,15.39,light rain
259,Nuuk,GL,64.1835,-51.7216,39.81,100,27.63,light snow
260,Salym,RU,60.0625,71.4789,56.08,1,9.93,clear sky
261,Zemio,CF,5.0314,25.1361,67.24,66,1.88,broken clouds
262,Roald,NO,62.5833,6.1333,55.0,100,3.44,overcast clouds
263,Prince Rupert,CA,54.3161,-130.3201,55.49,100,3.44,overcast clouds
264,Calabozo,VE,8.9242,-67.4293,75.36,1,0.72,clear sky
265,Baoqing,CN,46.3317,132.2111,72.84,100,5.5,overcast clouds
266,Nalut,LY,30.3333,10.85,75.69,0,10.89,clear sky
267,Makarov,RU,48.6333,142.8,55.67,68,5.17,broken clouds
268,Vila Velha,BR,-20.3297,-40.2925,67.95,75,2.3,broken clouds
269,Kampot,KH,10.6167,104.1833,86.05,80,3.74,broken clouds
270,Pirgos,GR,35.1167,25.7178,75.61,0,8.28,clear sky
271,Port Hardy,CA,50.6996,-127.4199,52.05,100,1.48,overcast clouds
272,Egvekinot,RU,66.3167,-179.1667,36.86,100,3.76,overcast clouds
273,Nam Phong,TH,16.7023,102.8557,85.08,70,4.41,light rain
274,Cheyenne,US,41.14,-104.8203,86.14,0,16.11,clear sky
275,Chara,RU,56.9064,118.2631,67.23,88,1.92,overcast clouds
276,Borogontsy,RU,62.6683,131.1683,63.21,100,3.24,overcast clouds
277,Hastings,GB,50.8552,0.5729,64.24,99,2.53,overcast clouds
278,Morros,BR,-9.4467,-46.3003,74.48,13,1.48,few clouds
279,Conde,BR,-7.2597,-34.9075,71.06,20,6.91,few clouds
280,Tahta,EG,26.7693,31.5021,80.28,0,17.09,clear sky
281,Moreno,BR,-8.1186,-35.0922,72.55,75,8.05,broken clouds
282,Pisco,PE,-13.7,-76.2167,64.02,4,3.44,haze
283,Kaeo,NZ,-35.1,173.7833,64.33,100,3.83,overcast clouds
284,San Cristobal,VE,7.7669,-72.225,75.38,36,2.57,scattered clouds
285,Tuatapere,NZ,-46.1333,167.6833,46.26,6,1.95,clear sky
286,Sabzevar,IR,36.2126,57.6819,76.41,0,18.54,clear sky
287,Vysokogornyy,RU,50.1167,139.15,72.54,77,2.26,broken clouds
288,Biltine,TD,14.5333,20.9167,89.64,54,6.71,broken clouds
289,Salalah,OM,17.0151,54.0924,86.09,75,9.22,broken clouds
