City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
153,Coos Bay,US,2022-06-06 00:27:42,43.3665,-124.2179,64.31,91,100,11.5
154,Mehamn,NO,2022-06-06 00:29:28,71.0357,27.8492,44.51,83,97,14.67
155,Edd,ER,2022-06-06 00:29:29,13.9297,41.6925,86.59,71,98,5.32
156,Mount Gambier,AU,2022-06-06 00:29:29,-37.8333,140.7667,46.31,87,75,19.57
157,Souillac,MU,2022-06-06 00:29:29,-20.5167,57.5167,71.98,83,40,6.91
158,Northam,GB,2022-06-06 00:29:30,51.0333,-4.2167,55.62,96,63,4.47
159,Alexandria,EG,2022-06-06 00:27:05,31.2156,29.9553,70.34,88,40,6.91
160,Petropavlivka,UA,2022-06-06 00:29:30,48.4564,36.4367,55.98,88,58,8.99
161,Baherden,TM,2022-06-06 00:29:30,38.4362,57.4316,80.73,15,0,6.29
162,San Quintin,MX,2022-06-06 00:29:31,30.4833,-115.95,67.44,77,2,18.9
163,Camabatela,AO,2022-06-06 00:29:31,-8.1881,15.375,61.9,47,91,3.87
164,Kahului,US,2022-06-06 00:29:32,20.8947,-156.47,86.02,51,40,24.16
165,Cacapava,BR,2022-06-06 00:29:32,-23.1008,-45.7069,59.88,91,19,2.44
166,Beloha,MG,2022-06-06 00:29:32,-25.1667,45.05,64.71,92,41,7.7
167,Fuerte Olimpo,PY,2022-06-06 00:29:33,-21.0415,-57.8738,77.09,44,87,5.37
168,Yellowknife,CA,2022-06-06 00:29:33,62.456,-114.3525,73.92,27,20,16.11
169,Atar,MR,2022-06-06 00:29:33,20.5169,-13.0499,90.59,13,100,13.69
170,Rosice,CZ,2022-06-06 00:29:34,49.1823,16.3879,66.6,91,100,4.61
171,Hami,CN,2022-06-06 00:29:34,42.8,93.45,73.0,22,1,14.12
172,Sri Aman,MY,2022-06-06 00:29:34,1.2376,111.4621,73.45,100,40,5.75
173,Dikson,RU,2022-06-06 00:29:35,73.5069,80.5464,30.7,94,100,10.69
174,Prince Rupert,CA,2022-06-06 00:24:46,54.3161,-130.3201,57.29,91,100,2.3
175,Nizwa,OM,2022-06-06 00:29:35,22.9333,57.5333,81.52,35,0,1.19
176,Raudeberg,NO,2022-06-06 00:29:35,61.9875,5.1352,45.86,86,12,12.55
177,Jiuquan,CN,2022-06-06 00:29:36,39.7432,98.5174,70.16,23,57,3.8
178,Sompeta,IN,2022-06-06 00:29:36,18.9333,84.6,83.21,90,50,11.61
179,Grand Gaube,MU,2022-06-06 00:29:36,-20.0064,57.6608,72.0,78,13,1.99
180,Tiksi,RU,2022-06-06 00:29:37,71.6872,128.8694,44.62,77,66,4.43
181,Puerto Penasco,MX,2022-06-06 00:29:37,31.3167,-113.5333,79.92,71,22,5.99
182,Bambous Virieux,MU,2022-06-06 00:29:38,-20.3428,57.7575,71.85,83,40,6.91
