City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
591,Itarema,BR,76.01,-2.9248,-39.9167,few clouds,"Sea Lounge! Bar, Club & Restaurant"
592,Vieste,IT,75.13,41.8825,16.175,clear sky,Hotel Falcone
593,Banda Aceh,ID,80.51,5.5577,95.3222,overcast clouds,OYO 884 Rumoh PMI Hotel
597,Luganville,VU,83.59,-15.5333,167.1667,overcast clouds,The Espiritu Hotel
598,Xiaolingwei,CN,87.78,32.0333,118.85,clear sky,南京国际会议大酒店
599,Poum,NC,79.23,-20.2333,164.0167,overcast clouds,
600,Placido De Castro,BR,75.36,-10.3353,-67.1856,broken clouds,Hotel Carioca
603,Hambantota,LK,78.8,6.1241,81.1185,overcast clouds,Bungalow 63
607,Sorong,ID,80.98,-0.8833,131.25,overcast clouds,Waigo Splash Hotel
610,Karwar,IN,78.96,14.8,74.1333,overcast clouds,Netalco Connects
613,Shieli,KZ,75.63,44.1667,66.75,clear sky,Gostinitsa Aybek Shieli
614,Poya,NC,80.35,-21.35,165.15,light rain,
616,Wilmington,US,78.71,34.2257,-77.9447,clear sky,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
618,Dafeng,CN,76.8,23.4517,108.5881,overcast clouds,Shenglong Hotel
619,Tripoli,LY,75.09,32.8752,13.1875,clear sky,Al Waddan Hotel
622,Uttarkashi,IN,75.54,30.7333,78.45,overcast clouds,Anand Ganga
626,Mount Pleasant,US,82.0,32.7941,-79.8626,broken clouds,Best Western Patriots Point
628,Jaisalmer,IN,81.64,26.9147,70.9181,clear sky,Hotel Fifu
629,Rafsanjan,IR,78.42,30.4067,55.9939,clear sky,Rafsanjan Tourism Hotel
630,Sawakin,SD,82.87,19.1059,37.3321,clear sky,فندق الدويم
631,Mahibadhoo,MV,83.62,3.7833,72.9667,overcast clouds,Omadhoo Inn
635,Gananoque,CA,76.59,44.3334,-76.1661,few clouds,Ramada by Wyndham Gananoque Provincial Inn
636,Bonthe,SL,77.76,7.5264,-12.505,moderate rain,Bonthe Holiday Village
637,Jalu,LY,78.78,29.0331,21.5482,clear sky,صاحبة الفخامة
642,Bandarbeyla,SO,78.48,9.4942,50.8122,overcast clouds,JABIR HOTEL
643,Riyadh,SA,86.14,24.6877,46.7219,clear sky,"InterContinental Riyadh, an IHG Hotel"
